{Tue 18:22:08 Step:1} Server_Comm.py: Received a new packet while on world.update()!
{Tue 18:22:09 Step:51} Server_Comm.py: The agent lost 1 packet! Is syncmode enabled?
{Tue 18:22:15 Step:369} Server_Comm.py: The agent lost 1 packet! Is syncmode enabled?
{Tue 18:22:16 Step:371} Server_Comm.py: The agent lost 1 packet! Is syncmode enabled?
{Tue 18:22:16 Step:373} Server_Comm.py: The agent lost 1 packet! Is syncmode enabled?
{Tue 18:22:16 Step:375} Server_Comm.py: The agent lost 1 packet! Is syncmode enabled?
{Tue 18:22:16 Step:417} Server_Comm.py: The agent lost 1 packet! Is syncmode enabled?
{Tue 18:22:16 Step:419} Server_Comm.py: The agent lost 1 packet! Is syncmode enabled?
{Tue 18:22:17 Step:421} Server_Comm.py: The agent lost 1 packet! Is syncmode enabled?
{Tue 18:22:17 Step:431} Server_Comm.py: The agent lost 1 packet! Is syncmode enabled?
{Tue 18:22:17 Step:433} Server_Comm.py: The agent lost 1 packet! Is syncmode enabled?
{Tue 18:22:19 Step:557} Server_Comm.py: The agent lost 1 packet! Is syncmode enabled?
{Tue 18:22:19 Step:565} Server_Comm.py: The agent lost 1 packet! Is syncmode enabled?
{Tue 18:22:20 Step:591} Server_Comm.py: The agent lost 1 packet! Is syncmode enabled?
