time_steps,reward ep.,length
327680,3.74730016202968,301.0
655360,2.978348958582113,301.0
983040,3.5936237062690664,301.0
1310720,3.4807379993668484,301.0
1638400,3.545707815944644,301.0
1966080,3.4940496472281213,301.0
2293760,3.658983208617511,301.0
2621440,3.3100565913505564,301.0
2949120,3.399575037487012,301.0
3276800,3.9220677371092996,301.0
3604480,3.587738356480915,301.0
3932160,3.5361175671311655,301.0
4259840,3.360843464035811,301.0
4587520,3.6456356809744777,301.0
4915200,3.493907181007772,301.0
5242880,3.8052277721352397,301.0
5570560,2.7891064285621523,301.0
5898240,3.2733619572676345,301.0
6225920,3.0046838536090563,301.0
6553600,3.3746592704478084,301.0
6881280,3.398661548632893,301.0
7208960,3.4478316848387975,301.0
7536640,3.796346253147535,301.0
7864320,3.15748650817945,301.0
8192000,3.1410809484017173,301.0
8519680,3.4285044600298695,301.0
8847360,3.2922924279561796,301.0
9175040,2.97556513941671,301.0
9502720,3.617411816894895,301.0
